request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_192,384.8,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2,046.00 request. Your balance cannot safely support this expense within 90 days."
request_193,310.62,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,212.20 request. Your balance cannot safely support this expense within 90 days."
request_194,95030.0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 132,800.00 request. Your balance cannot safely support this expense within 90 days."
request_195,1170.4,affordable_with_plan,installments,2026-01-09:405.74|2026-02-08:405.74|2026-03-10:405.74,2026-01-06,none,Use 3 installments of EUR 405.74 starting 2026-01-09. This fits your cash flow safely.
request_196,762.3,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,Pay EUR 762.30 in full on 2024-06-03. Your minimum balance of EUR 500 remains protected.
request_197,50939000.0,affordable_with_plan,installments,2025-11-19:17658853.33|2025-12-17:17658853.33|2026-01-14:17658853.33,2025-11-05,none,"Use 3 installments of IDR 17,658,853.33 starting 2025-11-19. This fits your cash flow safely."
request_198,185800.0,affordable_now,full_payment,2026-07-07:185800.00,2026-07-07,none,"Pay INR 185,800.00 in full on 2026-07-07. Your minimum balance of INR 124,300 remains protected."
request_199,23674000.0,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,"Use 3 installments of IDR 8,206,986.67 starting 2024-09-07. This fits your cash flow safely."
request_200,21717000.0,affordable_now,full_payment,2025-02-06:21717000.00,2025-02-06,none,"Pay IDR 21,717,000.00 in full on 2025-02-06. Your minimum balance of IDR 20,114,600 remains protected."
request_201,23997000.0,affordable_now,full_payment,2026-04-03:23997000.00,2026-04-03,none,"Pay IDR 23,997,000.00 in full on 2026-04-03. Your minimum balance of IDR 17,304,500 remains protected."
request_202,123900.0,affordable_now,full_payment,2024-12-05:123900.00,2024-12-05,none,"Pay INR 123,900.00 in full on 2024-12-05. Your minimum balance of INR 147,800 remains protected."
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,Use 3 installments of EUR 499.93 starting 2025-05-10. This fits your cash flow safely.
request_204,588.74,affordable_now,full_payment,2026-01-04:588.74,2026-01-04,none,"Pay EUR 588.74 in full on 2026-01-04. Your minimum balance of EUR 1,300 remains protected."
request_205,10621000.0,affordable_now,full_payment,2024-03-06:10621000.00,2024-03-06,none,"Pay IDR 10,621,000.00 in full on 2024-03-06. Your minimum balance of IDR 13,994,300 remains protected."
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,Use 3 installments of EUR 486.96 starting 2025-08-03. This fits your cash flow safely.
request_207,11830.0,affordable_now,full_payment,2026-07-05:11830.00,2026-07-05,none,"Pay ZAR 11,830.00 in full on 2026-07-05. Your minimum balance of ZAR 13,600 remains protected."
request_208,4413000.0,affordable_now,full_payment,2024-06-07:4413000.00,2024-06-07,none,"Pay IDR 4,413,000.00 in full on 2024-06-07. Your minimum balance of IDR 10,470,700 remains protected."
request_209,8625.1,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 56,914.00 request. Your balance cannot safely support this expense within 90 days."
request_210,1360.02,affordable_with_plan,installments,2026-04-06:471.48|2026-05-04:471.48|2026-06-01:471.48,2026-04-06,none,Use 3 installments of USD 471.48 starting 2026-04-06. This fits your cash flow safely.
request_211,1227.89,affordable_later,wait,2024-09-15:1788.60,2024-09-15,none,"Wait to pay EUR 1,788.60 in full on 2024-09-15. Paying earlier would breach your required balance."
request_212,22344000.0,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 71,934,000.00 request. Your balance cannot safely support this expense within 90 days."
request_213,3362.4,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,"Use 3 installments of USD 1,165.63 starting 2026-01-21. This fits your cash flow safely."
request_214,69750.0,affordable_with_plan,installments,2024-12-04:36270.00|2025-01-01:36270.00,2024-12-04,none,"Use 2 installments of INR 36,270.00 starting 2024-12-04. This fits your cash flow safely."
request_215,29986.0,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,"Use 3 installments of ZAR 10,395.15 starting 2025-05-09. This fits your cash flow safely."
request_216,1166.8,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 3,332.40 request. Your balance cannot safely support this expense within 90 days."
request_217,31601.97,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-03-15,none,"Use 3 installments of ZAR 12,889.07 starting 2024-03-19. This fits your cash flow safely."
request_218,37942414.8,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-08-15,none,"Use 3 installments of IDR 21,195,893.33 starting 2025-08-07. This fits your cash flow safely."
request_219,1673.1,not_affordable,not_recommended,none,2026-04-04,none,"Do not proceed with the EUR 1,673.10 request. Your balance cannot safely support this expense within 90 days."
request_220,387.32,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 3,118.50 request. Your balance cannot safely support this expense within 90 days."
request_221,109800.0,affordable_now,full_payment,2025-11-03:109800.00,2025-11-03,none,"Pay INR 109,800.00 in full on 2025-11-03. Your minimum balance of INR 81,500 remains protected."
request_222,34078.0,affordable_now,full_payment,2026-01-05:34078.00,2026-01-05,none,"Pay ZAR 34,078.00 in full on 2026-01-05. Your minimum balance of ZAR 27,300 remains protected."
request_223,898.7,affordable_now,full_payment,2024-09-07:898.70,2024-09-07,none,Pay EUR 898.70 in full on 2024-09-07. Your minimum balance of EUR 800 remains protected.
request_224,10327000.0,affordable_with_plan,installments,2025-02-04:5370040.00|2025-03-04:5370040.00,2025-02-04,none,"Use 2 installments of IDR 5,370,040.00 starting 2025-02-04. This fits your cash flow safely."
request_225,18120459.6,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 22,059,000.00 request. Your balance cannot safely support this expense within 90 days."
request_226,157000.0,affordable_now,full_payment,2024-12-03:157000.00,2024-12-03,none,"Pay INR 157,000.00 in full on 2024-12-03. Your minimum balance of INR 209,400 remains protected."
request_227,42755.0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 259,700.00 request. Your balance cannot safely support this expense within 90 days."
request_228,10557350.0,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 63,327,000.00 request. Your balance cannot safely support this expense within 90 days."
request_229,727.52,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,526.80 request. Your balance cannot safely support this expense within 90 days."
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.60,2025-08-06,none,"Pay EUR 3,537.60 in full on 2025-08-06. Your minimum balance of EUR 2,000 remains protected."
request_231,35706.0,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-01-03,none,"Use 3 installments of ZAR 12,378.08 starting 2026-01-06. This fits your cash flow safely."
request_232,1869.4,affordable_later,wait,2024-06-15:1970.10,2024-06-15,none,"Wait to pay EUR 1,970.10 in full on 2024-06-15. Paying earlier would breach your required balance."
request_233,6241000.0,affordable_with_plan,installments,2025-11-14:3245320.00|2025-12-15:3245320.00,2025-11-07,none,"Use 2 installments of IDR 3,245,320.00 starting 2025-11-14. This fits your cash flow safely."
request_234,574.25,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,213.30 request. Your balance cannot safely support this expense within 90 days."
request_235,967.2,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,Pay USD 967.20 in full on 2024-09-06. Your minimum balance of USD 700 remains protected.
request_236,14404850.0,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 52,383,000.00 request. Your balance cannot safely support this expense within 90 days."
request_237,23826000.0,affordable_now,full_payment,2026-04-05:23826000.00,2026-04-05,none,"Pay IDR 23,826,000.00 in full on 2026-04-05. Your minimum balance of IDR 22,431,500 remains protected."
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,Use 3 installments of USD 230.05 starting 2024-12-07. This fits your cash flow safely.
request_239,642.0,affordable_now,full_payment,2025-05-04:642.00,2025-05-04,none,Pay USD 642.00 in full on 2025-05-04. Your minimum balance of USD 600 remains protected.
request_240,39920.0,affordable_with_plan,partial_payment,2026-01-06:39920.00|2026-01-15:61280.00,2026-01-15,none,"Pay INR 39,920.00 on 2026-01-06 and INR 61,280.00 on 2026-01-15. Your minimum balance stays safe."
request_241,21052000.0,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,"Use 3 installments of IDR 7,298,026.67 starting 2024-03-17. This fits your cash flow safely."
request_242,437.4,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,966.80 request. Your balance cannot safely support this expense within 90 days."
request_243,17468.0,affordable_now,full_payment,2026-07-07:17468.00,2026-07-07,none,"Pay ZAR 17,468.00 in full on 2026-07-07. Your minimum balance of ZAR 19,900 remains protected."
request_244,49918.0,affordable_now,full_payment,2024-06-04:49918.00,2024-06-04,none,"Pay ZAR 49,918.00 in full on 2024-06-04. Your minimum balance of ZAR 45,900 remains protected."
request_245,65760.0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 128,500.00 request. Your balance cannot safely support this expense within 90 days."
request_246,64086.0,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,"Use 3 installments of ZAR 22,216.48 starting 2026-04-03. This fits your cash flow safely."
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.30,2024-09-05,none,"Pay EUR 1,059.30 in full on 2024-09-05. Your minimum balance of EUR 1,300 remains protected."
request_248,1507.36,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 1,965.60 request. Your balance cannot safely support this expense within 90 days."
request_249,342.4,not_affordable,not_recommended,none,,none,Do not proceed with the USD 643.20 request. Your balance cannot safely support this expense within 90 days.
request_250,28820.0,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 124,278.00 request. Your balance cannot safely support this expense within 90 days."
request_251,1513.6,not_affordable,not_recommended,none,2025-05-03,none,"Do not proceed with the EUR 1,513.60 request. Your balance cannot safely support this expense within 90 days."
request_252,10098500.0,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 28,082,000.00 request. Your balance cannot safely support this expense within 90 days."
request_253,2143.57,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2,840.20 request. Your balance cannot safely support this expense within 90 days."
request_254,1759.6,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 3,535.20 request. Your balance cannot safely support this expense within 90 days."
request_255,3345000.0,affordable_now,full_payment,2026-04-06:3345000.00,2026-04-06,none,"Pay IDR 3,345,000.00 in full on 2026-04-06. Your minimum balance of IDR 9,813,900 remains protected."
request_256,218700.0,affordable_with_plan,installments,2024-06-10:75816.00|2024-07-11:75816.00|2024-08-11:75816.00,2024-06-03,none,"Use 3 installments of INR 75,816.00 starting 2024-06-10. This fits your cash flow safely."
request_257,1085.2,affordable_later,wait,2025-11-15:1352.40,2025-11-15,none,"Wait to pay USD 1,352.40 in full on 2025-11-15. Paying earlier would breach your required balance."
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.60,2026-01-07,none,"Pay USD 1,113.60 in full on 2026-01-07. Your minimum balance of USD 500 remains protected."
request_259,627.3,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 935.00 request. Your balance cannot safely support this expense within 90 days.
request_260,15059400.0,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 52,079,000.00 request. Your balance cannot safely support this expense within 90 days."
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,"Pay EUR 1,830.40 in full on 2026-07-03. Your minimum balance of EUR 1,500 remains protected."
request_262,9236000.0,affordable_now,full_payment,2024-12-05:9236000.00,2024-12-05,none,"Pay IDR 9,236,000.00 in full on 2024-12-05. Your minimum balance of IDR 31,018,500 remains protected."
request_263,14718.0,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 51,546.00 request. Your balance cannot safely support this expense within 90 days."
request_264,39795.0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 111,300.00 request. Your balance cannot safely support this expense within 90 days."
request_265,45970.0,affordable_now,full_payment,2024-03-06:45970.00,2024-03-06,none,"Pay INR 45,970.00 in full on 2024-03-06. Your minimum balance of INR 189,700 remains protected."
request_266,935.0,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-08-03,none,Use 3 installments of EUR 324.13 starting 2025-08-03. This fits your cash flow safely.
request_267,1925.0,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-01-05,none,Use 3 installments of EUR 667.33 starting 2026-01-08. This fits your cash flow safely.
request_268,1512.52,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2,426.60 request. Your balance cannot safely support this expense within 90 days."
request_269,15490.0,affordable_now,full_payment,2025-11-04:15490.00,2025-11-04,none,"Pay ZAR 15,490.00 in full on 2025-11-04. Your minimum balance of ZAR 23,100 remains protected."
request_270,535.4,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 3,028.80 request. Your balance cannot safely support this expense within 90 days."
request_271,84760.0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 91,300.00 request. Your balance cannot safely support this expense within 90 days."
request_272,8815924.0,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 13,585,000.00 request. Your balance cannot safely support this expense within 90 days."
request_273,13372200.0,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 15,861,000.00 request. Your balance cannot safely support this expense within 90 days."
request_274,2713.7,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2024-12-04,none,Use 3 installments of EUR 940.75 starting 2024-12-04. This fits your cash flow safely.
request_275,15884000.0,affordable_now,full_payment,2025-05-06:15884000.00,2025-05-06,none,"Pay IDR 15,884,000.00 in full on 2025-05-06. Your minimum balance of IDR 12,760,100 remains protected."
